week,searches
2021-04-04,13
2021-04-11,11
2021-04-18,16
2021-04-25,23
2021-05-02,22
2021-05-09,23
2021-05-16,25
2021-05-23,17
2021-05-30,17
2021-06-06,19
2021-06-13,15
2021-06-20,15
2021-06-27,14
2021-07-04,13
2021-07-11,12
2021-07-18,13
2021-07-25,15
2021-08-01,14
2021-08-08,16
2021-08-15,37
2021-08-22,33
2021-08-29,75
2021-09-05,100
2021-09-12,69
2021-09-19,44
2021-09-26,36
2021-10-03,43
2021-10-10,38
2021-10-17,49
2021-10-24,52
2021-10-31,69
2021-11-07,75
2021-11-14,61
2021-11-21,50
2021-11-28,60
2021-12-05,49
2021-12-12,49
2021-12-19,48
2021-12-26,48
